GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMDB,org.xandercat.pmdb.form.useradmin,SearchForm,17,0,0,0,7,0,5,0,5,0
PMDB,org.xandercat.pmdb.form.useradmin,UserForm,22,99,1,1,10,31,6,12,5,12
PMDB,org.xandercat.pmdb.validation,UsernameValidator,0,7,0,0,0,3,0,3,0,3
PMDB,org.xandercat.pmdb.validation,ValuesMatchValidator,0,25,3,7,0,5,3,5,0,3
PMDB,org.xandercat.pmdb.validation,PasswordValidator,4,58,3,13,2,17,3,8,0,3
PMDB,org.xandercat.pmdb.util,DoubleStatistics,6,32,0,0,3,8,1,6,1,6
PMDB,org.xandercat.pmdb.util,Pair,9,17,0,0,4,8,1,5,1,5
PMDB,org.xandercat.pmdb.util,ViewUtil,110,236,4,0,26,45,14,12,12,12
PMDB,org.xandercat.pmdb.util,WordStatistics,0,175,1,17,0,34,1,15,0,7
PMDB,org.xandercat.pmdb.util,DBUtil,54,0,4,0,11,0,9,0,7,0
PMDB,org.xandercat.pmdb.util,PmdbAwsCredentialsProvider.PmdbAwsCredentials,15,0,0,0,6,0,3,0,3,0
PMDB,org.xandercat.pmdb.util,LongStatistics,6,32,0,0,3,8,1,6,1,6
PMDB,org.xandercat.pmdb.util,Alerts.AlertType,3,56,0,0,1,5,1,2,1,2
PMDB,org.xandercat.pmdb.util,ApplicationProperties,0,10,0,0,0,4,0,3,0,3
PMDB,org.xandercat.pmdb.util,PmdbAwsCredentialsProvider,14,0,0,0,5,0,3,0,3,0
PMDB,org.xandercat.pmdb.util,ExcelPorter.HeaderRow,2,30,1,1,0,8,1,2,0,2
PMDB,org.xandercat.pmdb.util,ExcelPorter,168,349,23,31,30,81,27,15,5,10
PMDB,org.xandercat.pmdb.util,MovieTitleComparator,0,25,2,6,0,6,2,4,0,2
PMDB,org.xandercat.pmdb.util,Alerts.Alert,9,18,0,0,3,7,3,2,3,2
PMDB,org.xandercat.pmdb.util,BootstrapBean,60,0,4,0,13,0,5,0,3,0
PMDB,org.xandercat.pmdb.util,Alerts,58,87,5,5,16,19,9,9,6,7
PMDB,org.xandercat.pmdb.util,WordStatistics.WordCount,0,43,0,0,0,9,0,6,0,6
PMDB,org.xandercat.pmdb.util,ExcelPorter.Format,3,42,0,0,1,8,1,3,1,3
PMDB,org.xandercat.pmdb.util,NumberStatistics,51,232,17,21,9,40,14,18,3,10
